"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj";"Dispersion";"FC/FCshrink"
"clong_scaffold_1_001049";3391,12960251788;2,60714751034947;0,786743651182454;3,28966160913307e-05;0,00234766801645647;0,376614906632628;1,15199290430545
"clong_scaffold_5_000084";214,892057029993;3,82735196278974;1,18513201771834;3,55037734520771e-05;0,00251062397982545;0,811101124412042;1,15696936763521
"clong_scaffold_1_003666";3040,2685931754;2,18048970415911;0,658718554885318;3,72625995728036e-05;0,00261651939573441;0,265642892801417;1,14910854422451
"clong_scaffold_7_001543";6500,93577813539;2,0764767145576;0,625781349585823;3,73386821140694e-05;0,00261651939573441;0,240751073692412;1,14814886894671
"clong_scaffold_9_001666";689,57814388925;1,22368089023933;0,358062065414646;3,80330436330077e-05;0,0026571734538196;0,08069089122383;1,13688370258052
"g25121";384,807285780159;1,32154804157299;0,390978524516965;4,06566894158487e-05;0,00281511273589203;0,0945387769906341;1,14010885980251
"clong_scaffold_8_002244";4139,76194667608;1,3609925109038;0,405624098829547;4,34459578751646e-05;0,00296413551309591;0,103899472097027;1,14189874276024
"clong_scaffold_3_001190";78,9677112947008;2,53026838921932;0,778870159980084;4,47657324652565e-05;0,00301979888141606;0,33667804843247;1,15603656682493
"clong_scaffold_9_001573";858,751320139511;1,64393811215713;0,498726056369487;4,56838470293369e-05;0,00307177659288301;0,153303108983443;1,14928435869031
"clong_scaffold_1_000295";31,6639458311101;1,70556858937909;0,52404460307512;5,12414428218688e-05;0,00336201838495537;0,135868968708578;1,15345604598227
"g19961";265,164147664844;3,01540523305824;0,956875458444232;5,13009467723686e-05;0,00336201838495537;0,533771878735137;1,16388562163358
"clong_scaffold_5_001013";728,710079252551;1,46069942221416;0,445322670388396;5,20380217766862e-05;0,00340074319279383;0,122698255031155;1,14884069014176
"clong_scaffold_5_000451";189,015306178442;1,47914089838554;0,451083734846147;5,27495400603758e-05;0,00342798337850459;0,119807951127522;1,1510646554635
"g27943";363,194576143842;1,35314872667755;0,411150368890358;5,44431296435614e-05;0,003508641028137;0,103842454750211;1,14647430614372
"clong_scaffold_5_001700";655,658467406769;1,04373651676567;0,310883831254698;5,64731366779209e-05;0,00360673662470661;0,0607887976551243;1,13624165990823
"clong_scaffold_2_000711";372,484561275615;2,78546905216511;0,891088583613963;5,79848063142904e-05;0,00366580575788578;0,465818847997035;1,16622052742549
"clong_scaffold_2_000097";963,838105742966;1,11888226395961;0,338938208270248;6,31789574127397e-05;0,00393010279199837;0,0724397966186071;1,1425735078726
"clong_scaffold_7_000330";29,9686317212247;2,62451828321212;0,83985908330971;6,43858929441426e-05;0,00398387712591883;0,352206206548618;1,16882770512197
"clong_scaffold_7_002469";1969,93417159877;1,16796466441876;0,355942906685974;6,43598594377285e-05;0,00398387712591883;0,0802374491512967;1,14510114820604
"clong_scaffold_9_001379";10611,4884347021;1,15421500318843;0,353959416887422;6,81559223531872e-05;0,00415090977368299;0,0797870218152702;1,14870564598634
"clong_scaffold_1_000820";20,4646546816175;3,00588690808025;0,972276812918605;7,02928820567457e-05;0,00426987963720676;0,455326252622872;1,1679259048732
"clong_scaffold_1_001412";9801,48248435964;1,07722827405019;0,328311988969687;7,06687410374017e-05;0,0042815319276957;0,0691046210391803;1,14327346036017
"clong_scaffold_8_000801";387,192465843851;2,11736154735411;0,682761641217407;7,47103859205238e-05;0,00449131040940823;0,277253570052379;1,16655595761427
"clong_scaffold_9_000046";290,987863002785;2,15663306350125;0,699055896876027;7,58627991021764e-05;0,00452550774644137;0,28757955228407;1,16927745260859
"clong_scaffold_1_001400";9595,03937551107;1,0603435154317;0,325635468934782;7,82757888085242e-05;0,00464562812915897;0,0679710348570845;1,14486215820109
"clong_scaffold_11_001420";167,990823528746;1,57861530848087;0,504460387364455;8,22065502764184e-05;0,00482963482873958;0,147729743915988;1,1631844134169
"clong_scaffold_3_000693";585,43938841366;1,85034019418744;0,602012675531041;8,61691313364435e-05;0,0050118121013559;0,215986098178222;1,16906148702498
"clong_scaffold_9_001626";328,692063186611;1,52738403298996;0,490398951001254;8,77970879390944e-05;0,00508109266393789;0,144395266192362;1,1635072007148
"clong_scaffold_2_002015";110,596085087149;2,57735170026392;0,862593057693972;9,09297328033092e-05;0,00522340798436787;0,418533547595232;1,18013651857012
"clong_scaffold_2_002813";55,7346541479816;2,13168579238344;0,707036253412106;0,000100116818575842;0,00562612991344679;0,274046499212222;1,17596102189603
"g42288";25841,0429407175;1,299278725565;0,417739043090024;0,000103008227178652;0,00574696979690967;0,108628927388032;1,16058216541495
"clong_contig_3600r_pilon_000005";738,926365971488;1,47490117533235;0,48146828481588;0,000105209019449319;0,00582782818449621;0,140307589931365;1,16761836711441
"g40722";423,838498481791;1,14655231749099;0,366277792662339;0,000108629554319687;0,00596288560510207;0,0819072626820513;1,15762248621407
"clong_scaffold_1_000163";615,99139042135;3,21174103376291;1,12549642770137;0,0001187344099062;0,00642408382899478;0,708898360662102;1,19146933195449
"clong_scaffold_4_003444";745,545510796403;1,27425711171612;0,418441395008059;0,000126565814039213;0,00673717169591435;0,1074186096603;1,16750269733967
"g36537";3396,29409632838;1,29454842987355;0,428470033577464;0,000131527526472233;0,00693237690135171;0,113060287053368;1,17116976229238
"clong_scaffold_5_000790";17,0189894969112;2,33079270679968;0,787848217038465;0,000132912015340635;0,0069801310088033;0,263037570048578;1,18530527686319
"clong_scaffold_5_002635";2387,75962485382;1,29028276159677;0,42796472773343;0,000138265602802211;0,00721244226276557;0,112680964966141;1,17006737490739
